Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
FH77504,California,Yes,Premium,Bachelor,1/24/2011,Employed,F,51643,Suburban,Single,283,16,43,0,1,Personal Auto,Personal L3,Offer2,Agent,1358.4,Luxury Car,Medsize
XK87182,Oregon,No,Premium,College,1/25/2011,Employed,F,46402,Urban,Married,113,7,2,0,1,Personal Auto,Personal L3,Offer1,Agent,476.385575,Four-Door Car,Medsize
HB17438,Washington,No,Extended,Bachelor,2/21/2011,Employed,M,92044,Urban,Married,132,7,77,0,3,Personal Auto,Personal L1,Offer4,Web,617.288574,SUV,Medsize
DH18269,Arizona,No,Extended,College,1/13/2011,Medical Leave,M,16040,Suburban,Divorced,96,29,93,0,2,Personal Auto,Personal L3,Offer1,Branch,611.476898,Two-Door Car,Medsize
DP19820,Oregon,No,Extended,College,1/15/2011,Unemployed,M,0,Suburban,Single,135,12,84,4,2,Personal Auto,Personal L2,Offer2,Branch,980.52817,SUV,Small
IK64989,Washington,Yes,Basic,Bachelor,1/2/2011,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Personal L2,Offer1,Agent,312,Four-Door Car,Medsize
MP85571,Arizona,No,Premium,Bachelor,2/20/2011,Unemployed,F,0,Suburban,Single,188,5,61,4,1,Personal Auto,Personal L2,Offer3,Agent,2156.011022,SUV,Medsize
VO29645,Oregon,Yes,Basic,High School or Below,2/26/2011,Medical Leave,M,12430,Suburban,Single,73,22,13,0,4,Personal Auto,Personal L3,Offer2,Call Center,350.4,Four-Door Car,Medsize
GP83239,California,Yes,Extended,College,1/14/2011,Employed,M,58414,Suburban,Single,210,7,24,2,1,Personal Auto,Personal L3,Offer2,Agent,1008,Luxury SUV,Small
GQ21970,Nevada,No,Basic,Bachelor,1/28/2011,Disabled,F,17257,Suburban,Single,70,1,88,0,2,Personal Auto,Personal L2,Offer1,Call Center,551.132139,Four-Door Car,Small
HP40365,Oregon,No,Basic,College,2/5/2011,Employed,F,70492,Urban,Divorced,70,29,82,0,7,Personal Auto,Personal L2,Offer3,Web,328.362698,Two-Door Car,Medsize
UX87150,California,No,Extended,College,1/1/2011,Employed,M,68229,Suburban,Married,96,11,41,0,5,Corporate Auto,Corporate L2,Offer4,Branch,460.8,Four-Door Car,Medsize
OZ30867,Oregon,No,Basic,High School or Below,2/23/2011,Employed,F,33397,Suburban,Married,106,31,15,0,5,Personal Auto,Personal L3,Offer4,Call Center,508.8,SUV,Medsize
LC60153,California,No,Basic,Bachelor,1/13/2011,Employed,M,72503,Urban,Single,106,29,99,0,2,Personal Auto,Personal L2,Offer3,Agent,295.821353,SUV,Large
OX87524,California,No,Basic,Master,2/20/2011,Employed,F,90349,Suburban,Divorced,64,31,77,0,1,Personal Auto,Personal L3,Offer4,Branch,435.7186,Four-Door Car,Medsize
ZY78741,California,No,Extended,High School or Below,2/25/2011,Unemployed,M,0,Suburban,Single,87,24,23,0,7,Corporate Auto,Corporate L2,Offer2,Agent,626.4,Four-Door Car,Large
DB79306,California,No,Basic,College,1/4/2011,Employed,M,25480,Urban,Married,117,26,49,3,1,Personal Auto,Personal L1,Offer4,Web,486.545439,SUV,Small
EM77767,Oregon,No,Basic,College,2/19/2011,Employed,F,72462,Urban,Married,68,8,70,0,2,Personal Auto,Personal L3,Offer2,Call Center,272.737308,Two-Door Car,Medsize
PH78214,Oregon,No,Basic,College,2/11/2011,Medical Leave,F,27677,Suburban,Married,72,10,82,1,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize
LY17996,California,No,Extended,High School or Below,1/26/2011,Medical Leave,M,25743,Suburban,Married,79,13,63,0,8,Personal Auto,Personal L3,Offer4,Branch,596.2476,Two-Door Car,Large
XV76553,Oregon,No,Basic,High School or Below,2/13/2011,Employed,M,74935,Rural,Married,112,15,62,0,1,Corporate Auto,Corporate L3,Offer2,Branch,192.859737,SUV,Medsize
SD38003,California,No,Basic,Bachelor,1/19/2011,Unemployed,M,0,Suburban,Single,71,13,50,0,1,Personal Auto,Personal L2,Offer1,Call Center,511.2,Four-Door Car,Medsize
QC30094,Oregon,No,Extended,High School or Below,2/5/2011,Medical Leave,F,15921,Suburban,Married,92,9,12,1,4,Corporate Auto,Corporate L2,Offer1,Call Center,571.549745,Four-Door Car,Small
KH92987,Arizona,No,Extended,High School or Below,1/3/2011,Employed,F,30095,Suburban,Married,136,0,94,0,2,Personal Auto,Personal L3,Offer1,Web,652.8,SUV,Medsize
OB32671,Oregon,No,Basic,High School or Below,1/31/2011,Employed,F,20587,Urban,Married,106,14,21,0,2,Personal Auto,Personal L3,Offer3,Agent,363.77598,SUV,Small
CD26907,California,No,Basic,Bachelor,1/6/2011,Unemployed,M,0,Suburban,Single,117,9,12,0,2,Personal Auto,Personal L3,Offer2,Web,1227.822079,Sports Car,Medsize
YY46839,Washington,No,Premium,High School or Below,1/30/2011,Employed,F,29628,Suburban,Married,106,29,45,0,9,Corporate Auto,Corporate L2,Offer1,Agent,763.2,Two-Door Car,Medsize
HY36253,California,No,Extended,Bachelor,1/23/2011,Disabled,M,28677,Rural,Divorced,78,3,30,0,2,Personal Auto,Personal L3,Offer3,Agent,131.515739,Four-Door Car,Medsize
KA62728,California,No,Premium,High School or Below,1/6/2011,Employed,M,87094,Rural,Single,113,20,17,1,5,Personal Auto,Personal L2,Offer3,Agent,64.894362,Four-Door Car,Medsize
GH98275,California,No,Basic,College,2/15/2011,Unemployed,F,0,Urban,Divorced,64,25,89,0,4,Corporate Auto,Corporate L2,Offer2,Call Center,181.810486,Four-Door Car,Medsize
DJ87316,Oregon,No,Extended,High School or Below,1/24/2011,Employed,M,43736,Suburban,Married,128,0,88,0,3,Personal Auto,Personal L1,Offer1,Branch,614.4,SUV,Medsize
XC85830,Oregon,Yes,Premium,Bachelor,1/28/2011,Employed,F,69379,Suburban,Single,103,14,79,0,1,Corporate Auto,Corporate L3,Offer1,Branch,494.4,Two-Door Car,Medsize
VK85405,California,No,Basic,High School or Below,1/29/2011,Employed,F,80415,Urban,Single,62,24,15,0,2,Corporate Auto,Corporate L2,Offer1,Agent,281.372658,Two-Door Car,Medsize
ZP27971,California,No,Extended,High School or Below,1/1/2011,Employed,M,26050,Suburban,Married,97,4,51,0,1,Personal Auto,Personal L3,Offer2,Branch,465.6,Four-Door Car,Small
QC95625,California,Yes,Premium,High School or Below,2/27/2011,Employed,M,57449,Suburban,Single,103,6,28,0,2,Personal Auto,Personal L2,Offer1,Agent,494.4,Four-Door Car,Medsize
DN34058,Washington,No,Extended,Bachelor,1/21/2011,Employed,F,68211,Suburban,Married,99,9,21,0,2,Corporate Auto,Corporate L1,Offer2,Branch,475.2,Four-Door Car,Small
VS80344,Arizona,No,Premium,Bachelor,2/16/2011,Employed,F,28445,Urban,Married,103,18,72,0,6,Special Auto,Special L3,Offer1,Agent,427.762841,Two-Door Car,Medsize
SJ24275,Nevada,No,Basic,College,1/6/2011,Employed,F,37313,Urban,Single,62,34,39,0,6,Personal Auto,Personal L2,Offer3,Branch,246.57631,Four-Door Car,Medsize
YB58105,California,No,Premium,High School or Below,2/14/2011,Unemployed,M,0,Suburban,Single,110,27,48,1,2,Corporate Auto,Corporate L1,Offer1,Agent,1066.913401,Four-Door Car,Large
BP35803,California,No,Extended,College,1/17/2011,Employed,F,29194,Urban,Single,89,28,31,0,1,Personal Auto,Personal L3,Offer2,Agent,424.466821,Four-Door Car,Medsize
CL73599,Arizona,Yes,Basic,Bachelor,1/14/2011,Employed,F,79090,Urban,Married,107,2,74,0,3,Personal Auto,Personal L3,Offer2,Branch,289.040734,SUV,Medsize
ZR22245,Washington,Yes,Basic,College,1/28/2011,Medical Leave,F,22571,Suburban,Single,63,29,51,0,9,Personal Auto,Personal L3,Offer2,Web,302.4,Four-Door Car,Large
JJ57298,Oregon,No,Extended,College,2/17/2011,Unemployed,M,0,Suburban,Single,139,16,33,0,2,Corporate Auto,Corporate L3,Offer1,Call Center,1066.63167,SUV,Medsize
FF53048,Arizona,No,Extended,Master,2/15/2011,Employed,F,48744,Suburban,Single,86,3,59,0,1,Personal Auto,Personal L3,Offer1,Agent,412.8,Two-Door Car,Small
HD83496,Arizona,No,Basic,Bachelor,1/8/2011,Unemployed,M,0,Suburban,Single,71,24,32,0,1,Corporate Auto,Corporate L3,Offer2,Web,511.2,Four-Door Car,Large
DD94148,California,No,Basic,College,2/16/2011,Employed,M,29530,Urban,Married,74,31,79,0,4,Personal Auto,Personal L2,Offer2,Web,222.478994,Two-Door Car,Medsize
FM52759,Nevada,Yes,Basic,Bachelor,1/13/2011,Employed,M,67798,Suburban,Divorced,69,1,78,0,9,Personal Auto,Personal L3,Offer1,Agent,331.2,Four-Door Car,Medsize
OI39918,California,No,Extended,Bachelor,1/31/2011,Medical Leave,M,16208,Suburban,Married,93,22,20,0,1,Personal Auto,Personal L3,Offer2,Call Center,446.4,Two-Door Car,Large
PC72443,Oregon,No,Premium,College,2/20/2011,Employed,F,94757,Rural,Married,112,0,25,0,1,Personal Auto,Personal L3,Offer3,Agent,5.453269,Four-Door Car,Medsize
OQ15169,Washington,Yes,Extended,High School or Below,1/27/2011,Employed,F,37995,Suburban,Married,139,16,50,0,1,Corporate Auto,Corporate L3,Offer1,Branch,667.2,SUV,Medsize
ZO89996,Oregon,Yes,Basic,College,2/25/2011,Employed,M,72302,Suburban,Divorced,66,6,27,0,1,Personal Auto,Personal L1,Offer1,Agent,316.8,Two-Door Car,Medsize
OP70207,Oregon,No,Extended,College,2/14/2011,Employed,M,37934,Urban,Divorced,137,2,58,1,8,Personal Auto,Personal L3,Offer1,Call Center,385.440163,Sports Car,Medsize
